"Channel Id","Channel Url","Channel Title"
"UCrmxntm2XAQ1WDLBYPaSY1w","http://www.youtube.com/channel/UCrmxntm2XAQ1WDLBYPaSY1w","Manan Desai"
"UCtI0Hodo5o5dUb67FeUjDeA","http://www.youtube.com/channel/UCtI0Hodo5o5dUb67FeUjDeA","SpaceX"
"UCu1aSs2qmjySrt_HkEmblvQ","http://www.youtube.com/channel/UCu1aSs2qmjySrt_HkEmblvQ","The Comedy Factory"
"UCu8ucb1LRJd1gwwXutYDgTg","http://www.youtube.com/channel/UCu8ucb1LRJd1gwwXutYDgTg","Erik Van Conover"
"UCuB7zkQVpcPKzHYJn45vM9w","http://www.youtube.com/channel/UCuB7zkQVpcPKzHYJn45vM9w","RDC Gujarati"
"UCuEvoBtMpS6UjqLc9c1BpSQ","http://www.youtube.com/channel/UCuEvoBtMpS6UjqLc9c1BpSQ","MR. INDIAN HACKER shorts"
"UCvECOOdYbkLThq4YTfQNkOg","http://www.youtube.com/channel/UCvECOOdYbkLThq4YTfQNkOg","Caleb Boxx"
"UCvmS3U_JvmQh_LHtd7Q2Paw","http://www.youtube.com/channel/UCvmS3U_JvmQh_LHtd7Q2Paw","Go Experimental"
"UCvo2tOQ0yDJLFRi7QAt58yA","http://www.youtube.com/channel/UCvo2tOQ0yDJLFRi7QAt58yA","MostTechy Shorts"
"UCw4IHIMsDO5wpIiprOSXiEA","http://www.youtube.com/channel/UCw4IHIMsDO5wpIiprOSXiEA","Dhruv Rathee Shorts"
"UCwAdQUuPT6laN-AQR17fe1g","http://www.youtube.com/channel/UCwAdQUuPT6laN-AQR17fe1g","Pranjal Kamra"
"UCwO9-5vM7QMcolhb-TrJozQ","http://www.youtube.com/channel/UCwO9-5vM7QMcolhb-TrJozQ","Tejas Joshi Finance"
"UCwVEhEzsjLym_u1he4XWFkg","http://www.youtube.com/channel/UCwVEhEzsjLym_u1he4XWFkg","Finance With Sharan"
"UCxFVuTTixUfg0Ryg0zC5HTA","http://www.youtube.com/channel/UCxFVuTTixUfg0Ryg0zC5HTA","VATSALYA INTERNATIONAL SCHOOL BORSAD (VISB)"
"UCxkM67T_Iele-mRVUiBkRqg","http://www.youtube.com/channel/UCxkM67T_Iele-mRVUiBkRqg","Jet Lag: The Game"
"UCz4a7agVFr1TxU-mpAP8hkw","http://www.youtube.com/channel/UCz4a7agVFr1TxU-mpAP8hkw","Mohak Mangal"
"UCzFeu9nYmb4Y-2cA1ptRHfQ","http://www.youtube.com/channel/UCzFeu9nYmb4Y-2cA1ptRHfQ","Hecks Study"
"UCzNTVzprq6UG7kBK0LIDtUw","http://www.youtube.com/channel/UCzNTVzprq6UG7kBK0LIDtUw","Karl Niilo"
"UCo_IB5145EVNcf8hw1Kku7w","http://www.youtube.com/channel/UCo_IB5145EVNcf8hw1Kku7w","The Game Theorists"
"UCX6OQ3DkcsbYNE6H8uQQuVA","https://www.youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA","MrBeast"
"UCVun3IyFIh6AsEMV11zlVHg","https://www.youtube.com/channel/UCVun3IyFIh6AsEMV11zlVHg","Sticks"
